+-----------+----------------------------------------------------------------------+--------+------+
|  IMDb_id  |                                Title                                 | Rating | Year |
| tt0314353 | Tears of the Sun                                                     | 6.6    | 2003 |
| tt0832266 | Definitely, Maybe                                                    | 7.1    | 2008 |
| tt0120667 | Fantastic Four                                                       | 5.7    | 2005 |
| tt0800080 | The Incredible Hulk                                                  | 6.6    | 2008 |
| tt0117500 | The Rock                                                             | 7.4    | 1996 |
| tt0057115 | The Great Escape                                                     | 8.2    | 1963 |
| tt1385867 | Cop Out                                                              | 5.5    | 2010 |
| tt0306841 | The Lizzie McGuire Movie                                             | 5.5    | 2003 |
| tt1440129 | Battleship                                                           | 5.8    | 2012 |
| tt0486576 | 4: Rise of the Silver Surfer                                         | 5.6    | 2007 |
| tt0093428 | The Living Daylights                                                 | 6.7    | 1987 |
| tt0071807 | The Man with the Golden Gun                                          | 6.7    | 1974 |
| tt0076752 | The Spy Who Loved Me                                                 | 7.0    | 1977 |
| tt0314331 | Love Actually                                                        | 7.6    | 2003 |
| tt1392214 | Prisoners                                                            | 8.1    | 2013 |
| tt0082398 | For Your Eyes Only                                                   | 6.7    | 1981 |
| tt1605783 | Midnight in Paris                                                    | 7.7    | 2011 |
| tt0120783 | The Parent Trap                                                      | 6.6    | 1998 |
| tt0110932 | Quiz Show                                                            | 7.5    | 1994 |
| tt1013743 | Knight and Day                                                       | 6.3    | 2010 |
| tt1570728 | Crazy, Stupid, Love.                                                 | 7.4    | 2011 |
| tt0376994 | X-Men: The Last Stand                                                | 6.6    | 2006 |
| tt1981115 | Thor: The Dark World                                                 | 6.8    | 2013 |
| tt0070328 | Live and Let Die                                                     | 6.7    | 1973 |
| tt0116629 | Independence Day                                                     | 7.0    | 1996 |
| tt1219289 | Limitless                                                            | 7.4    | 2011 |
| tt0947810 | Green Zone                                                           | 6.8    | 2010 |
| tt1731141 | Ender's Game                                                         | 6.6    | 2013 |
| tt0366548 | Happy Feet                                                           | 6.4    | 2006 |
| tt1371111 | Cloud Atlas                                                          | 7.4    | 2012 |
| tt0207201 | What Women Want                                                      | 6.4    | 2000 |
| tt0367882 | Indiana Jones and the Kingdom of the Crystal Skull                   | 6.1    | 2008 |
| tt0099423 | Die Hard 2                                                           | 7.1    | 1990 |
| tt0109831 | Four Weddings and a Funeral                                          | 7.1    | 1994 |
| tt0167404 | The Sixth Sense                                                      | 8.2    | 1999 |
| tt0295297 | Harry Potter and the Chamber of Secrets                              | 7.4    | 2002 |
